"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-121.4 -121.3 35.6 35.7 0 30 3.05 3.15 0.0139792783353552 1
-121.4 -121.3 35.7 35.8 0 30 3.05 3.15 0.0138034722062904 1
-121.4 -121.3 35.8 35.9 0 30 3.05 3.15 0.0137840130574276 1
-121.4 -121.3 35.9 36 0 30 3.05 3.15 0.0134520418676314 1
-121.4 -121.3 36 36.1 0 30 3.05 3.15 0.0135887941722193 1
-121.4 -121.3 36.1 36.2 0 30 3.05 3.15 0.014389096644596 1
-121.4 -121.3 36.2 36.3 0 30 3.05 3.15 0.0172593533255531 1
-121.4 -121.3 36.3 36.4 0 30 3.05 3.15 0.0218674507914278 1
-121.4 -121.3 36.4 36.5 0 30 3.05 3.15 0.0242092056323501 1
-121.4 -121.3 36.5 36.6 0 30 3.05 3.15 0.0259658979489215 1
-121.3 -121.2 34.7 34.8 0 30 3.05 3.15 0.00180793862319553 1
-121.3 -121.2 34.8 34.9 0 30 3.05 3.15 0.00558386413902056 1
-121.3 -121.2 34.9 35 0 30 3.05 3.15 0.00786821326970296 1
-121.3 -121.2 35 35.1 0 30 3.05 3.15 0.00982069263916059 1
-121.3 -121.2 35.1 35.2 0 30 3.05 3.15 0.0112849546781126 1
-121.3 -121.2 35.2 35.3 0 30 3.05 3.15 0.0125735936437086 1
-121.3 -121.2 35.3 35.4 0 30 3.05 3.15 0.00980094147154433 1
-121.3 -121.2 35.4 35.5 0 30 3.05 3.15 0.0107577578353199 1
-121.3 -121.2 35.5 35.6 0 30 3.05 3.15 0.0130225432236480 1
-121.3 -121.2 35.6 35.7 0 30 3.05 3.15 0.0136667033655746 1
-121.3 -121.2 35.7 35.8 0 30 3.05 3.15 0.0136472624737443 1
-121.3 -121.2 35.8 35.9 0 30 3.05 3.15 0.0136277537275290 1
-121.3 -121.2 35.9 36 0 30 3.05 3.15 0.0131201619354193 1
-121.3 -121.2 36 36.1 0 30 3.05 3.15 0.0135887941722193 1
-121.3 -121.2 36.1 36.2 0 30 3.05 3.15 0.0153459097210025 1
-121.3 -121.2 36.2 36.3 0 30 3.05 3.15 0.0163025455111432 1
-121.3 -121.2 36.3 36.4 0 30 3.05 3.15 0.0206947248822739 1
-121.3 -121.2 36.4 36.5 0 30 3.05 3.15 0.0244056999505424 1
-121.3 -121.2 36.5 36.6 0 30 3.05 3.15 0.026747433169843 1
-121.3 -121.2 36.6 36.7 0 30 3.05 3.15 0.0184696625131276 1
-121.2 -121.1 34.5 34.6 0 30 3.05 3.15 0.00148382372394278 1
-121.2 -121.1 34.6 34.7 0 30 3.05 3.15 0.00164587612447925 1
-121.2 -121.1 34.7 34.8 0 30 3.05 3.15 0.00246007521396668 1
