"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-125.1 -125 40.9 41 0 30 3.05 3.15 0.00756028839671484 1
-125.1 -125 41 41.1 0 30 3.05 3.15 0.0106804074263216 1
-125.1 -125 41.1 41.2 0 30 3.05 3.15 0.00846032272607006 1
-125.1 -125 41.2 41.3 0 30 3.05 3.15 0.0113404326015767 1
-125.1 -125 41.3 41.4 0 30 3.05 3.15 0.00876033417647216 1
-125.1 -125 41.4 41.5 0 30 3.05 3.15 0.00624023875923523 1
-125.1 -125 41.5 41.6 0 30 3.05 3.15 0.00248409475757936 1
-125.1 -125 41.6 41.7 0 30 3.05 3.15 0.00164406271356081 1
-125.1 -125 41.7 41.8 0 30 3.05 3.15 0.00142805447443498 1
-125.1 -125 41.8 41.9 0 30 3.05 3.15 0.00147005607632596 1
-125.1 -125 41.9 42 0 30 3.05 3.15 0.00168606431556209 1
-125.1 -125 42 42.1 0 30 3.05 3.15 0.00206407873568450 1
-125.1 -125 42.1 42.2 0 30 3.05 3.15 0.00250809567612207 1
-125.1 -125 42.2 42.3 0 30 3.05 3.15 0.00303011630769301 1
-125.1 -125 42.3 42.4 0 30 3.05 3.15 0.00308411836601866 1
-125.1 -125 42.4 42.5 0 30 3.05 3.15 0.00196807507442354 1
-125.1 -125 42.5 42.6 0 30 3.05 3.15 0.00117004463204728 1
-125.1 -125 42.6 42.7 0 30 3.05 3.15 0.000840032044064011 1
-125.1 -125 42.7 42.8 0 30 3.05 3.15 0.000792030213199807 1
-125.1 -125 42.8 42.9 0 30 3.05 3.15 0.000990037764904249 1
-125.1 -125 42.9 43 0 30 3.05 3.15 0.00073202792416961 1
-125 -124.9 39.5 39.6 0 30 3.05 3.15 5.32820396763528e-05 1
-125 -124.9 39.6 39.7 0 30 3.05 3.15 7.44028382088776e-05 1
-125 -124.9 39.7 39.8 0 30 3.05 3.15 0.000112804302934217 1
-125 -124.9 39.8 39.9 0 30 3.05 3.15 0.000225008583339796 1
-125 -124.9 39.9 40 0 30 3.05 3.15 0.000503419275417117 1
-125 -124.9 40 40.1 0 30 3.05 3.15 0.000978037308634283 1
-125 -124.9 40.1 40.2 0 30 3.05 3.15 0.00292811241298303 1
-125 -124.9 40.2 40.3 0 30 3.05 3.15 0.013080498961683 1
-125 -124.9 40.3 40.4 0 30 3.05 3.15 0.20640787356845 1
-125 -124.9 40.4 40.5 0 30 3.05 3.15 0.0708027080193406 1
-125 -124.9 40.5 40.6 0 30 3.05 3.15 0.0398415270018443 1
-125 -124.9 40.6 40.7 0 30 3.05 3.15 0.0249009498625098 1
-125 -124.9 40.7 40.8 0 30 3.05 3.15 0.0312611996411641 1
-125 -124.9 40.8 40.9 0 30 3.05 3.15 0.0171006523260697 1
-125 -124.9 40.9 41 0 30 3.05 3.15 0.00852032501704358 1
-125 -124.9 41 41.1 0 30 3.05 3.15 0.00786029983855902 1
-125 -124.9 41.1 41.2 0 30 3.05 3.15 0.0105004005459247 1
-125 -124.9 41.2 41.3 0 30 3.05 3.15 0.00666025477960478 1
-125 -124.9 41.3 41.4 0 30 3.05 3.15 0.0042781639180117 1
-125 -124.9 41.4 41.5 0 30 3.05 3.15 0.00283810898166918 1
-125 -124.9 41.5 41.6 0 30 3.05 3.15 0.00183006980944317 1
-125 -124.9 41.6 41.7 0 30 3.05 3.15 0.00134405127128182 1
-125 -124.9 41.7 41.8 0 30 3.05 3.15 0.00117604486255662 1
-125 -124.9 41.8 41.9 0 30 3.05 3.15 0.0012180464646026 1
-125 -124.9 41.9 42 0 30 3.05 3.15 0.00141005378798934 1
-125 -124.9 42 42.1 0 30 3.05 3.15 0.00183006980944317 1
-125 -124.9 42.1 42.2 0 30 3.05 3.15 0.00214808194586771 1
-125 -124.9 42.2 42.3 0 30 3.05 3.15 0.00297611424635882 1
-125 -124.9 42.3 42.4 0 30 3.05 3.15 0.00390614972285192 1
-125 -124.9 42.4 42.5 0 30 3.05 3.15 0.00255609750317133 1
-125 -124.9 42.5 42.6 0 30 3.05 3.15 0.00171606545910283 1
-125 -124.9 42.6 42.7 0 30 3.05 3.15 0.00136805218525834 1
-125 -124.9 42.7 42.8 0 30 3.05 3.15 0.00112204280301070 1
-125 -124.9 42.8 42.9 0 30 3.05 3.15 0.000936035705242226 1
-125 -124.9 42.9 43 0 30 3.05 3.15 0.000481818450932225 1
-124.9 -124.8 39.3 39.4 0 30 3.05 3.15 3.78614514636793e-05 1
-124.9 -124.8 39.4 39.5 0 30 3.05 3.15 4.42816963213995e-05 1
-124.9 -124.8 39.5 39.6 0 30 3.05 3.15 5.49621037880256e-05 1
-124.9 -124.8 39.6 39.7 0 30 3.05 3.15 7.44028382088776e-05 1
-124.9 -124.8 39.7 39.8 0 30 3.05 3.15 0.000141005378798934 1
-124.9 -124.8 39.8 39.9 0 30 3.05 3.15 0.000286811012580019 1
-124.9 -124.8 39.9 40 0 30 3.05 3.15 0.000702026851351156 1
-124.9 -124.8 40 40.1 0 30 3.05 3.15 0.00132005035344460 1
-124.9 -124.8 40.1 40.2 0 30 3.05 3.15 0.00433816620458261 1
-124.9 -124.8 40.2 40.3 0 30 3.05 3.15 0.0168606431556209 1
-124.9 -124.8 40.3 40.4 0 30 3.05 3.15 0.0852032501704358 1
-124.9 -124.8 40.4 40.5 0 30 3.05 3.15 0.0348013347225673 1
-124.9 -124.8 40.5 40.6 0 30 3.05 3.15 0.0309611882197409 1
-124.9 -124.8 40.6 40.7 0 30 3.05 3.15 0.0193807392971871 1
-124.9 -124.8 40.7 40.8 0 30 3.05 3.15 0.0175206683549382 1
-124.9 -124.8 40.8 40.9 0 30 3.05 3.15 0.0112204280301070 1
-124.9 -124.8 40.9 41 0 30 3.05 3.15 0.00768029297066659 1
-124.9 -124.8 41 41.1 0 30 3.05 3.15 0.00505219344090937 1
-124.9 -124.8 41.1 41.2 0 30 3.05 3.15 0.0060002296067275 1
-124.9 -124.8 41.2 41.3 0 30 3.05 3.15 0.00490218771373616 1
-124.9 -124.8 41.3 41.4 0 30 3.05 3.15 0.00246609407103977 1
-124.9 -124.8 41.4 41.5 0 30 3.05 3.15 0.00175206683549382 1
-124.9 -124.8 41.5 41.6 0 30 3.05 3.15 0.00127804875131564 1
-124.9 -124.8 41.6 41.7 0 30 3.05 3.15 0.00108004119895976 1
-124.9 -124.8 41.7 41.8 0 30 3.05 3.15 0.000906034560497382 1
-124.9 -124.8 41.8 41.9 0 30 3.05 3.15 0.000858032730244871 1
-124.9 -124.8 41.9 42 0 30 3.05 3.15 0.00104403982508699 1
-124.9 -124.8 42 42.1 0 30 3.05 3.15 0.00163806248733495 1
-124.9 -124.8 42.1 42.2 0 30 3.05 3.15 0.00285610966548955 1
-124.9 -124.8 42.2 42.3 0 30 3.05 3.15 0.00296411378326853 1
-124.9 -124.8 42.3 42.4 0 30 3.05 3.15 0.00335412866649328 1
-124.9 -124.8 42.4 42.5 0 30 3.05 3.15 0.00232808880641522 1
-124.9 -124.8 42.5 42.6 0 30 3.05 3.15 0.00169206454757091 1
-124.9 -124.8 42.6 42.7 0 30 3.05 3.15 0.00148205653466542 1
-124.9 -124.8 42.7 42.8 0 30 3.05 3.15 0.00118804531963988 1
-124.9 -124.8 42.8 42.9 0 30 3.05 3.15 0.000846032272607006 1
-124.9 -124.8 42.9 43 0 30 3.05 3.15 0.000471618062142391 1
-124.8 -124.7 39.2 39.3 0 30 3.05 3.15 3.78614514636793e-05 1
-124.8 -124.7 39.3 39.4 0 30 3.05 3.15 4.14015864991614e-05 1
-124.8 -124.7 39.4 39.5 0 30 3.05 3.15 4.77018268521839e-05 1
-124.8 -124.7 39.5 39.6 0 30 3.05 3.15 6.06023189035298e-05 1
-124.8 -124.7 39.6 39.7 0 30 3.05 3.15 9.30035476034556e-05 1
-124.8 -124.7 39.7 39.8 0 30 3.05 3.15 0.000151805790841107 1
-124.8 -124.7 39.8 39.9 0 30 3.05 3.15 0.000258609865036601 1
-124.8 -124.7 39.9 40 0 30 3.05 3.15 0.000536420534385017 1
-124.8 -124.7 40 40.1 0 30 3.05 3.15 0.00108604142866661 1
-124.8 -124.7 40.1 40.2 0 30 3.05 3.15 0.00272410463274094 1
-124.8 -124.7 40.2 40.3 0 30 3.05 3.15 0.0165006294476955 1
-124.8 -124.7 40.3 40.4 0 30 3.05 3.15 0.102603913968409 1
-124.8 -124.7 40.4 40.5 0 30 3.05 3.15 0.0744028382088776 1
-124.8 -124.7 40.5 40.6 0 30 3.05 3.15 0.0344413209684437 1
-124.8 -124.7 40.6 40.7 0 30 3.05 3.15 0.0249609521516830 1
-124.8 -124.7 40.7 40.8 0 30 3.05 3.15 0.00876033417647216 1
-124.8 -124.7 40.8 40.9 0 30 3.05 3.15 0.00547820969118988 1
-124.8 -124.7 40.9 41 0 30 3.05 3.15 0.00366014033442108 1
-124.8 -124.7 41 41.1 0 30 3.05 3.15 0.00382214652016943 1
-124.8 -124.7 41.1 41.2 0 30 3.05 3.15 0.0046201769556431 1
-124.8 -124.7 41.2 41.3 0 30 3.05 3.15 0.00279010714936592 1
-124.8 -124.7 41.3 41.4 0 30 3.05 3.15 0.00166206340328248 1
-124.8 -124.7 41.4 41.5 0 30 3.05 3.15 0.00118204509001332 1
-124.8 -124.7 41.5 41.6 0 30 3.05 3.15 0.000960036620733069 1
-124.8 -124.7 41.6 41.7 0 30 3.05 3.15 0.000690026393683231 1
-124.8 -124.7 41.7 41.8 0 30 3.05 3.15 0.000536420534385017 1
-124.8 -124.7 41.8 41.9 0 30 3.05 3.15 0.000573621953323804 1
-124.8 -124.7 41.9 42 0 30 3.05 3.15 0.000756028839671484 1
-124.8 -124.7 42 42.1 0 30 3.05 3.15 0.00132605058343826 1
-124.8 -124.7 42.1 42.2 0 30 3.05 3.15 0.00792030213199807 1
-124.8 -124.7 42.2 42.3 0 30 3.05 3.15 0.00291011173056644 1
-124.8 -124.7 42.3 42.4 0 30 3.05 3.15 0.00200407645055530 1
-124.8 -124.7 42.4 42.5 0 30 3.05 3.15 0.00166806363275686 1
